,repo,topics
0,sindresorhus/awesome,"Awesome Lists,Interesting Topics,Curated Collections,Specific Subjects,Community Contributions"
1,vinta/awesome-python,"Python frameworks,Python libraries,Python software,Python resources"
2,donnemartin/system-design-primer,"System design,Large-scale systems,Interview preparation,Anki flashcards"
3,tensorflow/tensorflow,"Open Source,Machine Learning,Framework,Accessibility"
4,trekhleb/javascript-algorithms,"Algorithms in JavaScript,Data Structures in JavaScript,Explanations and Readings"
5,codecrafters-io/build-your-own-x,"Programming,Recreating technologies from scratch,Learning by replication"
6,vuejs/vue,"Vue 2,Vue 3,repo,vuejs/core"
7,30-seconds/30-seconds-of-code,"Code snippets,Development tools,Programming,Software development"
8,axios/axios,"Promise-based HTTP client,Browser compatibility,Node.js compatibility"
9,facebook/create-react-app,"Web application development,Command-line tools,Modern web app setup"
10,github/gitignore,"Git,Version Control,Software Development,.gitignore,File Types,Template Usage"
11,flutter/flutter,"Flutter,App Development,Mobile Apps,Productivity,User Experience"
12,kubernetes/kubernetes,"Container Scheduling,Management,Production-Grade"
13,jlevy/the-art-of-command-line,"Command Line Basics,Navigating the File System,File and Directory Operations,File Permissions and Ownership,Redirection and Piping,Command Line Environment and Configuration,Working with Remote Systems,Scripting and Automation,Troubleshooting and Error Handling,Security and Best Practices"
14,public-apis/public-apis,"Free APIs,API Sources,API List,API Suggestions,API Discovery"
15,f/awesome-chatgpt-prompts,"ChatGPT,Prompt Curation"
16,facebook/react,"Web user interfaces,Native user interfaces,Libraries"
17,gothinkster/realworld,"demo app,fullstack development,Medium.com clone,React,Angular,Node,Django"
18,microsoft/terminal,"Windows Terminal,Windows Console Host"
19,twbs/bootstrap,"HTML,CSS,JavaScript,Responsive Design,Mobile First Development"
20,mui/material-ui,"MUI Core,Foundational React Components,Free,Material UI,Google's Material Design"
21,puppeteer/puppeteer,"Node.js,API,Chrome"
22,rust-lang/rust,"Empowering everyone,Building reliable software,Building efficient software"
23,tensorflow/models,"Computer vision models,Natural language processing models,Generative models,Reinforcement learning agents,Audio and music models,Recommender systems,TensorFlow Hub and TensorFlow Models repositories,TensorFlow.js models and examples"
24,avelino/awesome-go,"Go frameworks,Go libraries,Go software"
25,kamranahmedse/developer-roadmap,"Interactive roadmaps,Guides,Educational content,Career development for developers"
26,yangshun/tech-interview-handbook,"Coding interview preparation,Materials for software engineers,Curated resources"
